Time,Conso_resident,Conso_bureau,Conso_ecole,Conso_tot
2023-06-05 00:00:00,3.83,8.37,1.03,13.23
2023-06-05 00:15:00,4.5600000000000005,6.789999999999999,1.77,13.12
2023-06-05 00:30:00,5.29,5.209999999999999,2.51,13.01
2023-06-05 00:45:00,6.02,3.63,3.25,12.9
2023-06-05 01:00:00,6.75,2.05,3.99,12.79
2023-06-05 01:15:00,6.4350000000000005,3.0925,3.1100000000000003,12.6375
2023-06-05 01:30:00,6.12,4.135,2.23,12.485
2023-06-05 01:45:00,5.805,5.1775,1.3499999999999996,12.3325
2023-06-05 02:00:00,5.49,6.22,0.47,12.18
2023-06-05 02:15:00,5.2525,5.797499999999999,1.3175,12.3675
2023-06-05 02:30:00,5.015000000000001,5.375,2.165,12.555
2023-06-05 02:45:00,4.7775,4.952500000000001,3.0124999999999997,12.7425
2023-06-05 03:00:00,4.54,4.53,3.86,12.93
2023-06-05 03:15:00,5.5175,5.4175,3.61,14.545
2023-06-05 03:30:00,6.494999999999999,6.305,3.36,16.16
2023-06-05 03:45:00,7.472499999999999,7.1925,3.11,17.775
2023-06-05 04:00:00,8.45,8.08,2.86,19.39
2023-06-05 04:15:00,9.38,8.3,3.26,20.94
2023-06-05 04:30:00,10.31,8.52,3.66,22.49
2023-06-05 04:45:00,11.24,8.74,4.0600000000000005,24.04
2023-06-05 05:00:00,12.17,8.96,4.46,25.590000000000003
2023-06-05 05:15:00,12.8775,8.477500000000001,4.18,25.535
2023-06-05 05:30:00,13.585,7.995000000000001,3.9,25.48
2023-06-05 05:45:00,14.2925,7.5125,3.62,25.425
2023-06-05 06:00:00,15.0,7.03,3.34,25.37
2023-06-05 06:15:00,15.8525,7.112500000000001,3.4575,26.4225
2023-06-05 06:30:00,16.705,7.195,3.575,27.475
2023-06-05 06:45:00,17.5575,7.2775,3.6925,28.5275
2023-06-05 07:00:00,18.41,7.36,3.81,29.58
2023-06-05 07:15:00,17.4475,17.855,13.4,48.7025
2023-06-05 07:30:00,16.485,28.35,22.99,67.825
2023-06-05 07:45:00,15.5225,38.845000000000006,32.58,86.9475
2023-06-05 08:00:00,14.56,49.34,42.17,106.07
2023-06-05 08:15:00,13.5425,48.7775,40.395,102.715
2023-06-05 08:30:00,12.525,48.215,38.620000000000005,99.36
2023-06-05 08:45:00,11.5075,47.6525,36.845,96.005
2023-06-05 09:00:00,10.49,47.09,35.07,92.65
2023-06-05 09:15:00,10.1825,49.0825,35.0175,94.2825
2023-06-05 09:30:00,9.875,51.075,34.965,95.915
